INDEX,Intercept,BIO2,BIO3,SCA2,SCA3,KNO2,KNO3,USE2,USE3,MET2,ANA2,PRICE
14,5.215,0.582,-0.067,-1.543,0.58,0.637,0.756,0.539,-0.053,0.078,-0.039,0.091
17,10.243,-0.033,-0.215,-1.941,0.086,-0.494,0.097,0.062,0.892,0.419,0.538,1.028
19,1.466,0.915,0.564,-0.275,1.629,-0.662,0.047,0.949,0.24,0.765,0.648,2.118
22,1.594,1.663,0.359,-0.479,1.187,-0.511,0.199,0.824,-0.003,0.306,-0.168,0.36
23,2.61,0.528,2.339,-0.585,0.173,1.29,2.119,-0.729,-0.376,-0.493,-0.611,-0.302
24,4.814,0.093,0.914,0.036,-0.143,0.316,0.082,0.081,0.319,-0.147,0.092,1.07
25,1.788,2.247,1.656,-0.472,1.89,-0.012,-0.368,0.741,-0.442,0.265,0.029,0.414
26,3.856,0.292,2.407,-0.823,-0.301,-0.061,0.054,0.571,0.098,0.226,-0.011,1.628
27,4.868,0.112,1.329,-1.762,0.587,0.071,2.439,0.071,-0.047,-0.585,0.835,3.659
28,0.548,0.012,-0.067,-0.096,0.247,-0.042,0.072,-0.097,-0.097,0.183,0.299,2.419
32,5.755,0.238,0.407,-0.072,0.949,-0.387,0.443,0.378,-0.096,0.299,0.656,0.252
37,2.882,0.329,1.048,-0.439,0.685,-0.004,0.114,0.05,0.286,-0.068,0.406,1.047
39,10.954,-0.137,-0.207,-1.711,0.215,0.087,0.442,0.087,0.444,0.153,0.153,0.104
41,3.654,0.696,1.211,0.069,0.342,0.278,0.988,-0.057,0.418,-0.443,-0.325,0.902
42,4.626,-0.17,0.083,-0.039,0.184,0.175,0.295,0.413,0.056,0.004,0.24,0.083
46,10.288,-0.076,-0.162,-3.117,0.281,-0.237,-0.235,0.088,0.796,0.441,0.441,0.305
49,4.292,-0.057,0.235,0.089,0.061,0.009,-0.227,-0.229,0.008,0.232,-0.003,0.081
56,7.171,0.304,-0.147,-0.445,-0.05,0.442,1.39,0.066,0.187,0.294,0.411,0.009
57,2.748,0.23,0.943,0.386,0.703,-0.007,0.94,-0.093,-0.328,0.186,0.068,-0.455
59,8.624,0.039,0.182,-2.476,0.038,-0.028,0.329,0.145,0.383,0.145,0.383,-0.437
64,5.319,0.886,1.178,-1.956,0.058,0.24,0.476,-0.675,0.035,1.176,-0.008,0.4
65,6.802,0.546,0.677,-2.532,0.071,0.297,0.769,1.212,1.21,-0.553,0.042,1.61
66,1.053,1.106,-1.149,0.89,0.748,-0.607,2.234,0.837,-0.109,-0.023,-0.378,-0.683
70,7.114,0.666,1.043,-2.04,0.786,0.095,0.456,0.044,0.282,0.162,0.163,0.113
71,4.929,0.537,1.176,-0.859,-0.056,0.018,2.269,1.031,1.03,0.857,0.976,1.02
72,2.421,-0.077,-0.201,0.377,0.395,-0.013,0.104,-0.185,0.054,0.171,-0.302,-0.047
73,6.627,0.325,-0.047,0.022,0.208,0.263,0.5,0.498,0.259,0.035,0.273,0.107
74,4.964,-0.024,-1.26,0.248,-0.025,0.373,0.255,-0.259,0.213,0.902,-0.044,-0.173
76,8.313,0.409,-0.186,-2.347,0.409,-0.109,0.248,0.41,0.41,-0.108,0.245,0.283
78,10.113,0.247,-0.216,-0.908,0.481,0.082,-0.037,0.189,0.31,0.136,0.138,0.248
79,8.003,-0.038,0.174,-1.111,0.317,0.026,0.026,-0.039,0.317,0.899,-0.168,-0.138
82,4.778,0.383,-0.017,-0.103,-0.209,0.198,0.199,0.09,-0.145,0.198,0.198,1.223
87,3.033,-0.016,0.739,-0.088,0.579,0.451,0.568,-0.186,0.525,-0.453,-0.336,-0.04
88,4.917,0.211,1.897,0.177,0.568,-0.004,-0.121,0.276,0.273,-0.067,0.168,0.655
93,3.353,0.207,0.069,-0.355,0.444,0.338,-0.137,-0.126,-0.126,0.271,0.154,0.536
95,2.115,2.078,-0.308,-0.394,2.672,0.144,1.446,-0.234,0.24,-0.05,-0.169,0.468
97,0.906,-0.092,0.403,-0.154,-0.092,-0.169,0.661,-0.382,-0.026,-0.06,1.006,-0.063
100,9.488,0.623,0.346,-1.688,0.384,0.237,-0.358,0.383,0.621,0.277,0.28,0.034
106,4.406,0.064,0.236,-0.185,-0.055,0.355,-0.12,0.462,0.228,0.463,0.225,0.548
110,5.186,-0.288,0.35,-0.159,-0.052,0.055,0.056,-0.29,-0.053,-0.181,0.294,0.662
111,4.686,0.262,0.294,-0.176,-0.093,-0.081,-0.201,0.534,0.768,-0.146,0.092,0.913
114,4.383,0.454,0.339,-0.047,-0.14,0.095,0.214,0.322,0.441,0.321,0.439,0.34
115,2.355,0.716,1.507,-0.039,0.952,0.406,-0.541,1.525,1.051,0.159,0.159,1.661
117,7.503,-0.401,0.013,-0.018,0.664,-0.048,0.307,-0.327,-0.092,-0.497,-0.141,-0.143
118,3.471,1.509,0.38,-0.282,1.629,-0.136,0.339,-0.007,-0.242,-0.492,0.694,1.159
120,7.071,0.161,0.11,-1.97,0.162,0.161,0.162,0.162,0.162,0.165,0.162,0.111
121,5.799,0.54,0.253,-0.071,0.42,0.753,1.109,0.38,-0.096,0.246,0.487,0.407
124,3.377,-0.396,-0.14,0.129,0.671,-0.236,1.187,0.089,-0.266,-0.448,0.5,-0.139
125,4.005,0.854,1.475,-0.472,0.498,0.619,0.735,-0.006,0.23,0.155,0.747,0.542
127,6.359,0.225,0.624,-1.369,0.225,0.527,-0.302,0.57,0.333,0.569,0.332,0.311
129,4.212,0.318,1.323,-0.813,1.266,0.251,1.556,-0.004,0.232,0.276,0.629,-0.076
130,4.672,0.123,1.482,-0.52,0.125,0.724,1.552,0.004,0.243,0.121,0.122,-0.382
134,-0.103,0.151,1.374,0.022,-0.441,0.151,-0.443,0.42,0.417,-0.68,0.389,1.687
